productive_time,learning_preference,focus_span,review_frequency,exam_preparation,note_taking,question_asking,concept_handling,organization,learning_skill_level,capable_cgpa
Afternoon (12-5 PM),In group discussions,15-30 minutes,Sometimes,Study a few days before,I take detailed notes,Sometimes,Research deeply and ask for help,Somewhat organized,Average,7.72
Late night (12 AM-5 AM),Through videos and visual aids,Less than 15 minutes,Sometimes,Cram the night before,I take detailed notes,Never,Research deeply and ask for help,Not organized at all,Below Average,6.01
Afternoon (12-5 PM),By reading textbooks/notes,15-30 minutes,Often,Cram the night before,I jot down a few points,Often,Spend time until I understand,Fairly organized,Average,7.93
Night (9 PM-12 AM),Through videos and visual aids,30-60 minutes,Never,Cram the night before,I jot down a few points,Sometimes,Try to understand briefly,Somewhat organized,Average,8.28
Morning (8 AM-12 PM),Through hands-on practice,15-30 minutes,Often,Create a detailed study plan weeks in advance,I use structured methods like Cornell notes,Sometimes,Research deeply and ask for help,Somewhat organized,Above Average,9.28
Morning (8 AM-12 PM),Through hands-on practice,30-60 minutes,Always,Study a few days before,I take detailed notes,Sometimes,Skip them,Very organized,Above Average,8.94
Late night (12 AM-5 AM),Through hands-on practice,30-60 minutes,Rarely,Cram the night before,I take detailed notes,Sometimes,Spend time until I understand,Somewhat organized,Average,7.83
Early morning (5-8 AM),By reading textbooks/notes,More than 2 hours,Always,Study regularly throughout,I jot down a few points,Rarely,Skip them,Not organized at all,Average,7.41
Afternoon (12-5 PM),By reading textbooks/notes,Less than 15 minutes,Often,Create a detailed study plan weeks in advance,I jot down a few points,Never,Skip them,Very organized,Average,7.83
Early morning (5-8 AM),Through videos and visual aids,15-30 minutes,Always,Study a few days before,I use structured methods like Cornell notes,Often,Skip them,Fairly organized,Average,6.8
Night (9 PM-12 AM),In group discussions,30-60 minutes,Always,Study regularly throughout,I use structured methods like Cornell notes,Rarely,Spend time until I understand,Somewhat organized,Above Average,9.31
Night (9 PM-12 AM),By reading textbooks/notes,More than 2 hours,Rarely,Create a detailed study plan weeks in advance,I don't take notes,Never,Try to understand briefly,Not organized at all,Below Average,5.71
Early morning (5-8 AM),In group discussions,15-30 minutes,Never,Study regularly throughout,I take detailed notes,Rarely,Research deeply and ask for help,Fairly organized,Above Average,9.05
Morning (8 AM-12 PM),In group discussions,Less than 15 minutes,Rarely,Create a detailed study plan weeks in advance,I don't take notes,Often,Try to understand briefly,Fairly organized,Average,7.3
Early morning (5-8 AM),By reading textbooks/notes,1-2 hours,Often,Create a detailed study plan weeks in advance,I don't take notes,Sometimes,Skip them,Somewhat organized,Average,8.13
Morning (8 AM-12 PM),By reading textbooks/notes,30-60 minutes,Always,Study regularly throughout,I don't take notes,Rarely,Try to understand briefly,Very organized,Average,7.07
Late night (12 AM-5 AM),Through videos and visual aids,1-2 hours,Often,Study a few days before,I don't take notes,Often,Skip them,Not organized at all,Average,7.11
Early morning (5-8 AM),Through hands-on practice,15-30 minutes,Never,Create a detailed study plan weeks in advance,I jot down a few points,Never,Research deeply and ask for help,Fairly organized,Average,7.57
Night (9 PM-12 AM),Through videos and visual aids,30-60 minutes,Always,Create a detailed study plan weeks in advance,I don't take notes,Often,Research deeply and ask for help,Very organized,Above Average,9.64
Evening (5-9 PM),By reading textbooks/notes,30-60 minutes,Rarely,Study a few days before,I don't take notes,Never,Try to understand briefly,Not organized at all,Average,7.18
Evening (5-9 PM),Through videos and visual aids,30-60 minutes,Sometimes,Study regularly throughout,I use structured methods like Cornell notes,Sometimes,Research deeply and ask for help,Very organized,Average,7.54
Morning (8 AM-12 PM),Through videos and visual aids,15-30 minutes,Never,Create a detailed study plan weeks in advance,I don't take notes,Often,Spend time until I understand,Not organized at all,Average,7.62
Early morning (5-8 AM),Through hands-on practice,30-60 minutes,Never,Study regularly throughout,I don't take notes,Rarely,Spend time until I understand,Fairly organized,Average,7.54
Night (9 PM-12 AM),By reading textbooks/notes,Less than 15 minutes,Sometimes,Study regularly throughout,I use structured methods like Cornell notes,Sometimes,Spend time until I understand,Not organized at all,Average,7.28
Morning (8 AM-12 PM),In group discussions,1-2 hours,Rarely,Create a detailed study plan weeks in advance,I jot down a few points,Often,Spend time until I understand,Fairly organized,Above Average,8.76
Night (9 PM-12 AM),Through hands-on practice,Less than 15 minutes,Always,Cram the night before,I don't take notes,Sometimes,Skip them,Very organized,Below Average,5.06
Late night (12 AM-5 AM),By reading textbooks/notes,More than 2 hours,Rarely,Study a few days before,I don't take notes,Never,Skip them,Fairly organized,Below Average,5.11
Late night (12 AM-5 AM),Through videos and visual aids,1-2 hours,Often,Study regularly throughout,I take detailed notes,Never,Try to understand briefly,Fairly organized,Average,7.2
Early morning (5-8 AM),In group discussions,Less than 15 minutes,Rarely,Cram the night before,I don't take notes,Never,Spend time until I understand,Somewhat organized,Below Average,5.05
Afternoon (12-5 PM),Through videos and visual aids,30-60 minutes,Often,Study regularly throughout,I don't take notes,Often,Try to understand briefly,Fairly organized,Average,7.75
Late night (12 AM-5 AM),Through videos and visual aids,More than 2 hours,Often,Create a detailed study plan weeks in advance,I don't take notes,Rarely,Research deeply and ask for help,Very organized,Above Average,9.07
Early morning (5-8 AM),Through hands-on practice,More than 2 hours,Often,Create a detailed study plan weeks in advance,I don't take notes,Sometimes,Skip them,Not organized at all,Above Average,9.7
Early morning (5-8 AM),In group discussions,1-2 hours,Often,Create a detailed study plan weeks in advance,I take detailed notes,Rarely,Spend time until I understand,Fairly organized,Above Average,8.53
Night (9 PM-12 AM),Through hands-on practice,Less than 15 minutes,Always,Study regularly throughout,I use structured methods like Cornell notes,Sometimes,Try to understand briefly,Very organized,Above Average,8.69
Afternoon (12-5 PM),In group discussions,Less than 15 minutes,Rarely,Create a detailed study plan weeks in advance,I jot down a few points,Rarely,Skip them,Very organized,Average,7.68
Evening (5-9 PM),Through hands-on practice,Less than 15 minutes,Sometimes,Cram the night before,I jot down a few points,Sometimes,Skip them,Very organized,Average,7.67
Early morning (5-8 AM),By reading textbooks/notes,Less than 15 minutes,Always,Study regularly throughout,I take detailed notes,Never,Spend time until I understand,Very organized,Above Average,9.69
Early morning (5-8 AM),Through hands-on practice,1-2 hours,Rarely,Cram the night before,I take detailed notes,Rarely,Try to understand briefly,Not organized at all,Average,7.08
Afternoon (12-5 PM),Through videos and visual aids,Less than 15 minutes,Always,Study regularly throughout,I use structured methods like Cornell notes,Never,Spend time until I understand,Fairly organized,Average,7.19
Early morning (5-8 AM),Through videos and visual aids,More than 2 hours,Often,Create a detailed study plan weeks in advance,I don't take notes,Sometimes,Spend time until I understand,Not organized at all,Above Average,8.89
Night (9 PM-12 AM),In group discussions,Less than 15 minutes,Sometimes,Study regularly throughout,I don't take notes,Sometimes,Spend time until I understand,Somewhat organized,Average,7.3
Morning (8 AM-12 PM),In group discussions,Less than 15 minutes,Rarely,Study regularly throughout,I don't take notes,Often,Try to understand briefly,Somewhat organized,Average,6.71
Night (9 PM-12 AM),By reading textbooks/notes,More than 2 hours,Always,Create a detailed study plan weeks in advance,I use structured methods like Cornell notes,Sometimes,Try to understand briefly,Not organized at all,Average,8.02
Evening (5-9 PM),By reading textbooks/notes,15-30 minutes,Never,Study a few days before,I use structured methods like Cornell notes,Never,Research deeply and ask for help,Not organized at all,Average,7.02
Morning (8 AM-12 PM),Through hands-on practice,Less than 15 minutes,Rarely,Study a few days before,I take detailed notes,Rarely,Try to understand briefly,Very organized,Average,7.14
Late night (12 AM-5 AM),Through videos and visual aids,30-60 minutes,Rarely,Create a detailed study plan weeks in advance,I take detailed notes,Often,Spend time until I understand,Very organized,Above Average,9.33
Late night (12 AM-5 AM),Through hands-on practice,Less than 15 minutes,Often,Study regularly throughout,I don't take notes,Sometimes,Research deeply and ask for help,Not organized at all,Average,7.29
Early morning (5-8 AM),By reading textbooks/notes,1-2 hours,Sometimes,Study regularly throughout,I take detailed notes,Often,Try to understand briefly,Somewhat organized,Above Average,8.79
Early morning (5-8 AM),Through hands-on practice,15-30 minutes,Sometimes,Cram the night before,I use structured methods like Cornell notes,Rarely,Skip them,Somewhat organized,Below Average,6.15
Early morning (5-8 AM),In group discussions,15-30 minutes,Rarely,Study regularly throughout,I take detailed notes,Sometimes,Skip them,Somewhat organized,Average,7.99
Morning (8 AM-12 PM),In group discussions,Less than 15 minutes,Rarely,Cram the night before,I take detailed notes,Sometimes,Research deeply and ask for help,Very organized,Above Average,9.03
Late night (12 AM-5 AM),Through videos and visual aids,1-2 hours,Sometimes,Cram the night before,I use structured methods like Cornell notes,Sometimes,Research deeply and ask for help,Very organized,Average,7.41
Early morning (5-8 AM),In group discussions,1-2 hours,Rarely,Study regularly throughout,I use structured methods like Cornell notes,Sometimes,Try to understand briefly,Not organized at all,Above Average,9.04
Evening (5-9 PM),In group discussions,1-2 hours,Rarely,Create a detailed study plan weeks in advance,I jot down a few points,Never,Skip them,Not organized at all,Average,6.54
Night (9 PM-12 AM),In group discussions,More than 2 hours,Never,Create a detailed study plan weeks in advance,I use structured methods like Cornell notes,Sometimes,Research deeply and ask for help,Not organized at all,Above Average,9.28
Late night (12 AM-5 AM),By reading textbooks/notes,1-2 hours,Never,Cram the night before,I take detailed notes,Rarely,Try to understand briefly,Not organized at all,Below Average,5.19
Early morning (5-8 AM),By reading textbooks/notes,More than 2 hours,Sometimes,Study regularly throughout,I take detailed notes,Rarely,Research deeply and ask for help,Not organized at all,Above Average,9.2
Late night (12 AM-5 AM),Through hands-on practice,1-2 hours,Rarely,Study a few days before,I use structured methods like Cornell notes,Never,Spend time until I understand,Fairly organized,Average,7.87
Night (9 PM-12 AM),Through videos and visual aids,Less than 15 minutes,Sometimes,Study a few days before,I jot down a few points,Sometimes,Research deeply and ask for help,Fairly organized,Average,7.06
Evening (5-9 PM),In group discussions,1-2 hours,Rarely,Study regularly throughout,I jot down a few points,Sometimes,Spend time until I understand,Fairly organized,Average,6.82
Late night (12 AM-5 AM),In group discussions,Less than 15 minutes,Never,Create a detailed study plan weeks in advance,I use structured methods like Cornell notes,Rarely,Try to understand briefly,Not organized at all,Below Average,5.95
